defined_class	defined_class_label	stressor
ECTO:5000000	exposure to geographic feature	ENVO:00000000
ECTO:5000001	exposure to sidewalks	ENVO:01001279
ECTO:5000002	exposure to public swimming pool	ENVO:01000967
ECTO:5000003	exposure to mine drainage	ENVO:00001996
ECTO:5000003	exposure to acid mine drainage	ENVO:00001997
ECTO:5000003	exposure to gold mine drainage	ENVO:00002112
ECTO:5000003	exposure to mine	ENVO:00000076
ECTO:5000003	exposure to gold mine	ENVO:00002168
ECTO:5000003	exposure to coal mine	ENVO:00002169
