defined_class	defined_class_name	stressor
ECTO:7000130	exposure to glue	ENVO:00003076
ECTO:7000131	exposure to resin	ENVO:03510018
ECTO:7000132	exposure to shellac	ENVO:03510023
ECTO:7000133	exposure to tragacanth	ENVO:03510016
ECTO:7000134	exposure to xanthan gum	ENVO:03510015
ECTO:7000135	exposure to wood dust	ENVO:03510000
ECTO:7000136	exposure to diesel fuel	ENVO:03510006
ECTO:7000137	exposure to gasoline	ENVO:03510007
ECTO:7000138	exposure to diesel exhaust	ENVO:03510008
ECTO:7000139	exposure to gasoline exhaust	ENVO:03510009
ECTO:7000140	exposure to primer (paint)	ENVO:03510029
ECTO:7000141	exposure to oil-based paint	ENVO:03510031
ECTO:7000142	exposure to acrylic paint	ENVO:03510032
ECTO:7000143	exposure to luminescent paint	ENVO:03510033
ECTO:7000144	exposure to rock dust	ENVO:03510036
ECTO:7000145	exposure to radioactive material	ENVO:03510037
ECTO:7000146	exposure to cyanoacrylate	ENVO:03510038
ECTO:7000147	exposure to plastic production compound	ENVO:03510039
ECTO:7000148	exposure to cotton dust	ENVO:02000108
ECTO:7000149	exposure to rubber cement	ENVO:03510055
ECTO:7000150	exposure to methyl cellulose paste	ENVO:03510056
ECTO:7000151	exposure to permanent hair dye	ENVO:03510057
ECTO:7000152	exposure to pharmaceutical ink	ENVO:03510058
ECTO:7000153	exposure to gel ink	ENVO:03510060
ECTO:7000154	exposure to soy ink	ENVO:03510061
ECTO:7000155	exposure to aqueous inkjet printer ink	ENVO:03510062
ECTO:7000156	exposure to emissions from petroleum combustion	ENVO:03510064
ECTO:7000157	exposure to colorant fluid	ENVO:03510065
ECTO:7000158	exposure to chemical colorant	ENVO:03510066
