defined_class	defined_class_name	stressor
ECTO:0070112	ingestion of rye bread	FOODON:03305210
ECTO:0070113	ingestion of pumpernickel bread	FOODON:03302357
ECTO:0070114	ingestion of whole wheat bread	FOODON:03301119
ECTO:0070115	ingestion of multigrain bread	FOODON:03302478
ECTO:0070116	ingestion of bagel	FOODON:03309554
ECTO:0070117	ingestion of english muffin	FOODON:03305833
ECTO:0070118	ingestion of bread roll	FOODON:03301931
ECTO:0070119	ingestion of muffin	FOODON:03309530
ECTO:0070120	ingestion of biscuit	FOODON:03301884
ECTO:0070121	ingestion of pancake	FOODON:03315258
ECTO:0070122	ingestion of waffle	FOODON:03315259
ECTO:0070123	ingestion of brown rice	FOODON:00003436
ECTO:0070124	ingestion of white rice	FOODON:00003787
ECTO:0070125	ingestion of pasta	FOODON:03306347
ECTO:0070126	ingestion of spaghetti noodle	FOODON:03304262
ECTO:0070127	ingestion of couscous	FOODON:03303207
ECTO:0070128	ingestion of tortilla	FOODON:03307668
ECTO:0070129	ingestion of french fries	FOODON:03301959
ECTO:0070130	ingestion of potato	FOODON:03315354
ECTO:0070131	ingestion of pizza	FOODON:03310775
ECTO:0070132	ingestion of tea (decaffeinated)	FOODON:03312068
ECTO:0070133	ingestion of tea (steeped)	FOODON:03310546
ECTO:0070134	ingestion of coffee (liquid beverage)	FOODON:03301036
ECTO:0070135	ingestion of water	FOODON:03307813
ECTO:0070136	ingestion of sparkling water	FOODON:03302269
ECTO:0070137	ingestion of milk chocolate	FOODON:03302806
ECTO:0070138	ingestion of dark chocolate	FOODON:03303588
ECTO:0070139	ingestion of candy	FOODON:03301051
ECTO:0070140	ingestion of cookie	FOODON:03301585
ECTO:0070141	ingestion of brownie	FOODON:00002562
ECTO:0070142	ingestion of doughnut	FOODON:03301938
ECTO:0070143	ingestion of pastry	FOODON:03315272
ECTO:0070144	ingestion of cake	FOODON:00001278
ECTO:0070145	ingestion of pie	FOODON:03317288
ECTO:0070146	ingestion of jam	FOODON:03309973
ECTO:0070147	ingestion of jelly	FOODON:00001888
ECTO:0070148	ingestion of preserve	FOODON:03305304
ECTO:0070149	ingestion of honey	FOODON:00001178
ECTO:0070150	ingestion of syrup	FOODON:03303225
ECTO:0070151	ingestion of peanut butter	FOODON:03306867
ECTO:0070152	ingestion of potato chips	FOODON:03301833
ECTO:0070153	ingestion of pretzels	FOODON:03303929
ECTO:0070154	ingestion of peanut	FOODON:00003206
ECTO:0070155	ingestion of walnuts	FOODON:03315233
ECTO:0070156	ingestion of nuts	FOODON:03306632
ECTO:0070157	ingestion of olive oil	FOODON:03301826
ECTO:0070158	ingestion of mayonnaise	FOODON:03301440
ECTO:0070159	ingestion of salad dressing	FOODON:00001290
ECTO:0070160  ingestion of aspartame  CHEBI:2877
ECTO:0070161  ingestion of sucrose  CHEBI:17992
