iri,iri label,attribute,attribute label,entity,entity label
,,PATO:0000146,temperature,ENVO:00010483,environmental material
,,PATO:0000146,temperature,ENVO:00002005,air
,,PATO:0000146,temperature,ENVO:00002006,water
,,PATO:0001025,pressure,ENVO:00002006,water
