iri,iri label,stressor,stressor label,route,route label
ECTO:0000971,,CHEBI:24431,chemical entity,ExO:0000056,ingestion
ECTO:0000972,,ENVO:00010483,environmental material,ExO:0000056,ingestion
ECTO:0000973,,CHEBI:63063,cadmium cation,ExO:0000056,ingestion
ECTO:0000974,,CHEBI:25197,mercury cation,ExO:0000056,ingestion
ECTO:0000975,,CHEBI:24431,chemical entity,ExO:0000057,inhalation
ECTO:0000976,,ENVO:00010483,environmental material,ExO:0000057,inhalation
ECTO:0000977,,ENVO:01000416,ultrafine respirable suspended particulate matter,ExO:0000057,inhalation
ECTO:0000978,,ENVO:00010505,aerosol,ExO:0000057,inhalation
