iri,iri label,stressor,stressor label
ECTO:0001151,,CHEBI:64047,food additive
ECTO:0001152,,CHEBI:50505,sweetening agent
ECTO:0001153,,CHEBI:65255,food preservative
ECTO:0001154,,CHEBI:77182,food colouring
ECTO:0001155,,CHEBI:35617,flavouring agent
ECTO:0001156,,CHEBI:63047,food emulsifier
