iri,iri label,stressor,stressor label
,,CHEBI:24431,chemical entity
,,CHEBI:22271,aflatoxin
,,CHEBI:36919,antimony
,,CHEBI:22632,arsenic
,,CHEBI:22978,cadmium
,,CHEBI:25196,mercury
,,CHEBI:33216,bisphenol A
,,CHEBI:64220,monosodium glutamate
,,CHEBI:132932,disodium 5'-guanylate
