iri,iri label,stressor,stressor label
ECTO:0002395,,CHEBI:24431,chemical entity
ECTO:0002396,,CHEBI:22271,aflatoxin
ECTO:0002397,,CHEBI:36919,antimony
ECTO:0002398,,CHEBI:22632,arsenic
ECTO:0002399,,CHEBI:22978,cadmium
ECTO:0002400,,CHEBI:25196,mercury
ECTO:0002401,,CHEBI:33216,bisphenol A
ECTO:0002402,,CHEBI:64220,monosodium glutamate
ECTO:0002403,,CHEBI:132932,disodium 5'-guanylate
