left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0001129	prenatal exposure to drug	http://purl.obolibrary.org/obo/MRE_0000036	Prenatal drug exposure	label	label	prenatal exposure to drug	Prenatal drug exposure	54.187499999999986	0.5	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001130	prenatal exposure to serotonin uptake inhibitor	http://purl.obolibrary.org/obo/MRE_0000096	Prenatal exposure to serotonin reuptake inhibitor	hasRelatedSynonym	label	prenatal exposure to serotonin reuptake inhibitor	Prenatal exposure to serotonin reuptake inhibitor	37.5	0.5	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001131	prenatal exposure to lead cation	http://purl.obolibrary.org/obo/MRE_0000097	Prenatal lead exposure	label	label	prenatal exposure to lead cation	Prenatal lead exposure	72.24999999999999	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001136	exposure to atrazine	http://purl.obolibrary.org/obo/MRE_0000104	Exposure to atrazine	label	label	exposure to atrazine	Exposure to atrazine	66.66666666666666	0.3333333333333333	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001137	exposure to phthalate	http://purl.obolibrary.org/obo/MRE_0000103	Exposure to phthalate	label	label	exposure to phthalate	Exposure to phthalate	75.0	0.5	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001138	exposure to 1,2-dichloroethane	http://purl.obolibrary.org/obo/MRE_0000139	Exposure to 1,2-dichloroethane	label	label	exposure to 1,2-dichloroethane	Exposure to 1,2-dichloroethane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001139	exposure to chlorobenzene	http://purl.obolibrary.org/obo/MRE_0000147	Exposure to chlorobenzene	label	label	exposure to chlorobenzene	Exposure to chlorobenzene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001140	exposure to dichloromethane	http://purl.obolibrary.org/obo/MRE_0000149	Exposure to dichloromethane	label	label	exposure to dichloromethane	Exposure to dichloromethane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001141	exposure to ethylbenzene	http://purl.obolibrary.org/obo/MRE_0000150	Exposure to ethylbenzene	label	label	exposure to ethylbenzene	Exposure to ethylbenzene	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001142	exposure to nitrobenzene	http://purl.obolibrary.org/obo/MRE_0000153	Exposure to nitrobenzene	label	label	exposure to nitrobenzene	Exposure to nitrobenzene	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001143	exposure to styrene	http://purl.obolibrary.org/obo/MRE_0000154	Exposure to styrene	label	label	exposure to styrene	Exposure to styrene	100.0	1.0	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001144	exposure to tetrachloroethene	http://purl.obolibrary.org/obo/MRE_0000155	Exposure to tetrachloroethene	label	label	exposure to tetrachloroethene	Exposure to tetrachloroethene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001145	exposure to trichloroethene	http://purl.obolibrary.org/obo/MRE_0000158	Exposure to trichloroethene	label	label	exposure to trichloroethene	Exposure to trichloroethene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001146	exposure to o-xylene	http://purl.obolibrary.org/obo/MRE_0000160	Exposure to o-xylene	label	label	exposure to o-xylene	Exposure to o-xylene	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001147	exposure to thiocyanate	http://purl.obolibrary.org/obo/MRE_0000180	Exposure to thiocyanate	label	label	exposure to thiocyanate	Exposure to thiocyanate	100.0	0.3333333333333333	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001148	exposure to organofluorine compound	http://purl.obolibrary.org/obo/MRE_0000183	Exposure to organofluorine compound	label	label	exposure to organofluorine compound	Exposure to organofluorine compound	100.0	0.9	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001149	exposure to organoarsenic compound	http://purl.obolibrary.org/obo/MRE_0000203	Exposure to organoarsenic compound	label	label	exposure to organoarsenic compound	Exposure to organoarsenic compound	87.5	0.75	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001151	exposure to polychlorobiphenyl	http://purl.obolibrary.org/obo/MRE_0000083	Exposure to polychlorinated biphenyl	hasRelatedSynonym	label	exposure to polychlorinated biphenyl	Exposure to polychlorinated biphenyl	50.0	1.0	0.75	4	1.0	2
