ECTO:0000001 ! exposure to radiation	XCO:0000038 ! radiation exposure	true	exact	label	radiatexposur
ECTO:0000001 ! exposure to radiation	MRE:0000079 ! Radiation exposure	false	exact	label	radiationexposure
ECTO:0000001 ! exposure to radiation	NCIT:C61398 ! Radiation Exposure	false	exact	label	radiationexposure
ECTO:0000001 ! exposure to radiation	NCIT:C61398 ! Radiation Exposure	false	exact	related	radiationexposure
ECTO:0000001 ! exposure to radiation	XCO:0000038 ! radiation exposure	false	exact	label	radiationexposure
ECTO:0000002 ! exposure to electromagnetic radiation	XCO:0000045 ! electromagnetic radiation exposure	true	exact	label	electromagnetexposurradiat
ECTO:0000002 ! exposure to electromagnetic radiation	XCO:0000045 ! electromagnetic radiation exposure	true	label	label	electromagnetexposurradiat
ECTO:0000002 ! exposure to electromagnetic radiation	GO:0009314 ! response to radiation	false	exact	exact	electromagnetic
ECTO:0000002 ! exposure to electromagnetic radiation	XCO:0000045 ! electromagnetic radiation exposure	false	exact	label	electromagnetic
ECTO:0000002 ! exposure to electromagnetic radiation	ZECO:0000209 ! electromagnetic radiation	false	exact	label	electromagnetic
ECTO:0000002 ! exposure to electromagnetic radiation	GO:0009314 ! response to radiation	false	label	exact	electromagnetic
ECTO:0000002 ! exposure to electromagnetic radiation	XCO:0000045 ! electromagnetic radiation exposure	false	label	label	electromagnetic
ECTO:0000002 ! exposure to electromagnetic radiation	ZECO:0000209 ! electromagnetic radiation	false	label	label	electromagnetic
ECTO:0000002 ! exposure to electromagnetic radiation	XCO:0000045 ! electromagnetic radiation exposure	false	exact	label	electromagneticradiationexposure
ECTO:0000002 ! exposure to electromagnetic radiation	XCO:0000045 ! electromagnetic radiation exposure	true	exact	label	electromagnetradiatexposur
ECTO:0000003 ! exposure to sound radiation	GO:0010996 ! response to auditory stimulus	false	exact	exact	sound
ECTO:0000003 ! exposure to sound radiation	GO:0010996 ! response to auditory stimulus	false	label	exact	sound
ECTO:0000004 ! exposure to gamma radiation	XCO:0000040 ! gamma ray exposure	true	exact	exact	exposurgammaradiat
ECTO:0000004 ! exposure to gamma radiation	XCO:0000040 ! gamma ray exposure	true	label	exact	exposurgammaradiat
ECTO:0000004 ! exposure to gamma radiation	ECTO:0000122 ! exposure to photon	false	exact	related	gamma
