left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/ExO_0000002	exposure event	hasExactSynonym	label	radiation exposure event	exposure event	65.02499999999999	0.16666666666666666	1.0	4	1.0	4
http://purl.obolibrary.org/obo/ECTO_0000066	exposure to blood	http://purl.obolibrary.org/obo/ExO_0000063	blood	label	label	exposure to blood	blood	85.0	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000071	exposure to climate change	http://purl.obolibrary.org/obo/ExO_0000014	climate change	label	label	exposure to climate change	climate change	72.24999999999999	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000750	exposure to biomarker	http://purl.obolibrary.org/obo/ExO_0000071	biological marker	hasRelatedSynonym	label	exposure to biological marker	biological marker	42.5	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001127	poverty related exposure	http://purl.obolibrary.org/obo/ExO_0000015	poverty	hasExactSynonym	label	poverty exposure	poverty	76.5	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001591	occupation related exposure	http://purl.obolibrary.org/obo/ExO_0000034	occupation	hasExactSynonym	label	occupation exposure	occupation	76.5	1.0	0.5	4	1.0	2

