iri,iri label,stressor,stressor label
,,ENVO:00002297,environmental feature
,,ENVO:00001996,mine drainage
,,ENVO:00001997,acid mine drainage
,,ENVO:00002112,gold mine drainage
,,ENVO:00000076,mine
,,ENVO:00002168,gold mine
,,ENVO:00002169,coal mine
