iri,iri label,stressor,stressor label
ECTO:0002299,,NCBITaxon:10239,Viruses
ECTO:0002300,,NCBITaxon:12059,Enterovirus
ECTO:0002301,,NCBITaxon:210,Helicobacter pylori
ECTO:0002302,,NCBITaxon:151340,Papillomaviridae
